    PID CMD
   1816 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1604 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2397 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   1896 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1598 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   1805 /usr/bin/gnome-shell
  16238 /usr/bin/gnome-text-editor /home/osc/task5/OSC_Task/task-5/solution.txt
   1905 /usr/bin/ibus-daemon --panel disable
   6508 /usr/bin/nautilus --gapplication-service
   1582 /usr/bin/pipewire
   1584 /usr/bin/pipewire -c filter-chain.conf
   1592 /usr/bin/pipewire-pulse
   1020 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   3841 /usr/bin/snap userd
   2620 /usr/bin/update-notifier
   1588 /usr/bin/wireplumber
   2500 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.4DFUS2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    796 /usr/libexec/accounts-daemon
   1855 /usr/libexec/at-spi2-registryd --use-gnome-session
   1802 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1207 /usr/libexec/colord
   2263 /usr/libexec/dconf-service
   2149 /usr/libexec/evolution-addressbook-factory
   2097 /usr/libexec/evolution-calendar-factory
   1964 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1881 /usr/libexec/evolution-source-registry
   2742 /usr/libexec/fwupd/fwupd
   1733 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1650 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    773 /usr/libexec/gnome-remote-desktop-daemon --system
   1658 /usr/libexec/gnome-session-binary --session=ubuntu
   1775 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1736 /usr/libexec/gnome-session-ctl --monitor
   1874 /usr/libexec/gnome-shell-calendar-server
  15081 /usr/libexec/gnome-terminal-server
   1914 /usr/libexec/goa-daemon
   2113 /usr/libexec/goa-identity-service
   1906 /usr/libexec/gsd-a11y-settings
   1910 /usr/libexec/gsd-color
   1913 /usr/libexec/gsd-datetime
   1948 /usr/libexec/gsd-disk-utility-notify
   1917 /usr/libexec/gsd-housekeeping
   1919 /usr/libexec/gsd-keyboard
   1920 /usr/libexec/gsd-media-keys
   1921 /usr/libexec/gsd-power
   2056 /usr/libexec/gsd-printer
   1922 /usr/libexec/gsd-print-notifications
   1930 /usr/libexec/gsd-rfkill
   1931 /usr/libexec/gsd-screensaver-proxy
   1934 /usr/libexec/gsd-sharing
   1935 /usr/libexec/gsd-smartcard
   1938 /usr/libexec/gsd-sound
   1939 /usr/libexec/gsd-wacom
   2504 /usr/libexec/gsd-xsettings
   2179 /usr/libexec/gvfs-afc-volume-monitor
   1750 /usr/libexec/gvfsd
   1762 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2412 /usr/libexec/gvfsd-metadata
   2548 /usr/libexec/gvfsd-recent --spawner :1.18 /org/gtk/gvfs/exec_spaw/1
   2289 /usr/libexec/gvfsd-trash --spawner :1.18 /org/gtk/gvfs/exec_spaw/0
   2146 /usr/libexec/gvfs-goa-volume-monitor
   2156 /usr/libexec/gvfs-gphoto2-volume-monitor
   2167 /usr/libexec/gvfs-mtp-volume-monitor
   2080 /usr/libexec/gvfs-udisks2-volume-monitor
   2259 /usr/libexec/ibus-engine-simple
   2120 /usr/libexec/ibus-extension-gtk3
   2119 /usr/libexec/ibus-memconf
   2125 /usr/libexec/ibus-portal
   2525 /usr/libexec/ibus-x11
   2530 /usr/libexec/mutter-x11-frames
    778 /usr/libexec/power-profiles-daemon
   1115 /usr/libexec/rtkit-daemon
    807 /usr/libexec/switcheroo-control
   2379 /usr/libexec/tracker-miner-fs-3
    812 /usr/libexec/udisks2/udisksd
   1249 /usr/libexec/upowerd
   2320 /usr/libexec/xdg-desktop-portal
   2380 /usr/libexec/xdg-desktop-portal-gnome
   2423 /usr/libexec/xdg-desktop-portal-gtk
   1615 /usr/libexec/xdg-document-portal
   1629 /usr/libexec/xdg-permission-store
    776 /usr/lib/polkit-1/polkitd --no-debug
    786 /usr/lib/snapd/snapd
    380 /usr/lib/systemd/systemd-journald
    794 /usr/lib/systemd/systemd-logind
    589 /usr/lib/systemd/systemd-oomd
    594 /usr/lib/systemd/systemd-resolved
    604 /usr/lib/systemd/systemd-timesyncd
    438 /usr/lib/systemd/systemd-udevd
   1565 /usr/lib/systemd/systemd --user
    801 /usr/sbin/cron -f -P
   1033 /usr/sbin/cups-browsed
   1013 /usr/sbin/cupsd -l
   1031 /usr/sbin/gdm3
   1047 /usr/sbin/kerneloops
   1041 /usr/sbin/kerneloops --test
    917 /usr/sbin/ModemManager
    836 /usr/sbin/NetworkManager --no-daemon
    884 /usr/sbin/rsyslogd -n -iNONE
    841 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
